City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,17.05,55,75,3.6,CA,1693432812
1,longyearbyen,78.2186,15.6401,6.91,93,100,3.09,SJ,1693432813
2,invercargill,-46.4,168.35,12.79,61,54,5.81,NZ,1693432788
3,adamstown,-25.066,-130.1015,20.74,89,100,9.27,PN,1693432822
4,stanley,54.868,-1.6985,11.14,94,0,1.03,GB,1693432825
5,atafu village,-8.5421,-172.5159,28.86,75,62,6.92,TK,1693432825
6,hamilton,39.1834,-84.5333,23.85,62,0,5.14,US,1693432763
7,albany,42.6001,-73.9662,23.53,68,26,4.96,US,1693432375
8,rio grande,-32.035,-52.0986,17.06,86,45,4.29,BR,1693432706
9,hithadhoo,-0.6,73.0833,27.62,73,97,1.88,MV,1693432828
10,vorgashor,67.5833,63.95,6.44,82,72,3.13,RU,1693432832
11,papatowai,-46.5619,169.4708,10.72,64,33,2.3,NZ,1693432833
12,college,64.8569,-147.8028,13.38,94,100,3.6,US,1693432822
13,lubuklinggau,-3.3,102.8667,22.46,90,98,1.55,ID,1693432833
14,bajil,15.0584,43.2851,32.99,49,65,1.96,YE,1693432834
15,souillac,-20.5167,57.5167,21.21,64,40,3.09,MU,1693432834
16,ola,59.5833,151.2833,13.29,90,99,1.77,RU,1693432835
17,port-aux-francais,-49.35,70.2167,4.75,97,100,18.66,TF,1693432835
18,codigoro,44.8311,12.1142,18.36,79,8,1.36,IT,1693432835
19,dzerzhinsk,56.2389,43.4631,8.9,100,9,0.0,RU,1693432836
20,bethel,41.3712,-73.414,27.51,65,4,0.45,US,1693432745
21,port alfred,-33.5906,26.891,22.92,22,0,4.15,ZA,1693432836
22,banjarmasin,-3.3244,114.591,23.08,92,33,0.7,ID,1693432832
23,yellowknife,62.456,-114.3525,21.29,56,100,2.06,CA,1693432331
24,wailua homesteads,22.0669,-159.378,29.44,77,40,6.17,US,1693432629
25,san patricio,28.017,-97.5169,37.87,17,2,4.26,US,1693432837
26,kapa'a,22.0752,-159.319,28.39,73,15,3.13,US,1693432837
27,blackmans bay,-43.0167,147.3167,11.07,84,100,3.65,AU,1693432838
28,tinajo,29.0788,-13.7081,23.49,69,40,5.66,ES,1693432838
29,grand gaube,-20.0064,57.6608,21.22,68,88,1.79,MU,1693432838
30,vadso,70.0744,29.7487,13.49,87,20,3.09,NO,1693432839
31,puerto ayora,-0.7393,-90.3518,29.98,91,98,5.36,EC,1693432839
32,waitangi,-43.9535,-176.5597,10.46,86,100,2.24,NZ,1693432839
33,edinburgh of the seven seas,-37.0676,-12.3116,11.92,67,43,7.21,SH,1693432840
34,kittila,67.6647,24.8936,12.08,94,0,1.03,FI,1693432840
35,campo gallo,-26.5833,-62.85,26.32,28,0,2.33,AR,1693432840
36,jamestown,42.097,-79.2353,17.77,89,100,4.63,US,1693432550
37,grytviken,-54.2811,-36.5092,-4.08,77,65,3.88,GS,1693432841
38,sechura,-5.5569,-80.8222,20.99,83,5,7.41,PE,1693432842
39,ust'-kut,56.7938,105.7672,17.88,89,100,0.53,RU,1693432843
40,margaret river,-33.95,115.0667,10.21,82,0,6.29,AU,1693432843
41,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1693432837
42,kasulu,-4.5767,30.1025,20.58,56,25,0.56,TZ,1693432844
43,mount pearl,47.5166,-52.7813,18.31,96,100,8.75,CA,1693432734
44,gizo,-8.103,156.8419,26.55,78,99,8.4,SB,1693432844
45,saldanha,-33.0117,17.9442,14.03,89,76,4.6,ZA,1693432844
46,narvik,68.4384,17.4272,12.99,89,39,1.24,NO,1693432779
47,punta arenas,-53.15,-70.9167,3.18,81,87,9.44,CL,1693432822
48,bonthe,7.5264,-12.505,24.74,84,99,1.45,SL,1693432845
49,alakurtti,66.9672,30.3491,11.15,92,99,0.57,RU,1693432846
50,la'ie,21.6477,-157.9253,30.56,72,0,2.24,US,1693432846
51,villa gesell,-37.2639,-56.973,13.36,79,100,9.31,AR,1693432846
52,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,1693432846
53,rongelap,11.1635,166.8941,28.56,79,100,6.86,MH,1693432846
54,pakpattan,30.341,73.3866,29.28,46,0,2.61,PK,1693432847
55,enewetak,11.3474,162.3373,28.66,77,100,5.31,MH,1693432847
56,dwarka,22.2394,68.9678,26.89,74,67,3.91,IN,1693432847
57,kone,-21.0595,164.8658,25.07,76,100,0.71,NC,1693432848
58,namibe,-15.1961,12.1522,18.37,93,100,4.28,AO,1693432848
59,ketchikan,55.3422,-131.6461,15.99,86,100,1.73,US,1693432848
60,bom jesus,-9.0744,-44.3586,31.06,32,23,1.66,BR,1693432848
61,puerto natales,-51.7236,-72.4875,2.29,93,99,1.86,CL,1693432848
62,amungan,15.3652,119.9582,27.99,84,100,8.9,PH,1693432849
63,castillos,-34.1667,-53.8333,13.58,75,76,3.25,UY,1693432849
64,igarka,67.4667,86.5833,3.53,90,32,4.09,RU,1693432849
65,tazovsky,67.4667,78.7,4.75,75,48,3.53,RU,1693432850
66,haiku-pauwela,20.9219,-156.3051,30.09,66,6,4.47,US,1693432851
67,tolanaro,-25.0319,46.9987,20.04,77,40,5.14,MG,1693432851
68,iqaluit,63.7506,-68.5145,4.85,80,100,6.17,CA,1693432481
69,dryden,49.7833,-92.7503,22.16,53,0,3.09,CA,1693432852
70,suncho corral,-27.9336,-63.4294,26.81,27,0,2.77,AR,1693432852
71,borazjan,29.2666,51.2159,33.19,38,0,0.71,IR,1693432753
72,talnakh,69.4865,88.3972,4.56,82,0,1.51,RU,1693432716
73,uturoa,-16.7333,-151.4333,24.7,75,85,6.77,PF,1693432852
74,havelock,34.8791,-76.9013,28.0,89,75,2.57,US,1693432852
75,la ronge,55.1001,-105.2842,28.12,47,75,3.6,CA,1693432853
76,colonia,50.9333,6.95,14.42,86,0,1.54,DE,1693432853
77,ushuaia,-54.8,-68.3,5.81,65,40,4.63,AR,1693432805
78,itapirapua,-15.8233,-50.6133,31.14,44,100,0.82,BR,1693432853
79,klyuchi,52.2667,79.1667,17.93,48,55,3.54,RU,1693432854
80,fale old settlement,-9.3852,-171.2468,28.46,76,41,6.86,TK,1693432854
81,kharp,66.8014,65.8081,10.08,85,100,1.42,RU,1693432854
82,rudbar,30.15,62.6,33.23,16,1,2.02,AF,1693432854
83,dashitou,43.3067,128.5114,13.38,95,90,1.29,CN,1693432855
84,port elizabeth,-33.918,25.5701,17.16,59,0,1.54,ZA,1693432855
85,liwale,-9.7667,37.9333,18.73,93,34,2.14,TZ,1693432855
86,malvan,16.0667,73.4667,27.5,78,27,3.56,IN,1693432855
87,pariaman,-0.619,100.12,25.03,91,96,2.93,ID,1693432679
88,coquimbo,-29.9533,-71.3436,17.85,63,0,6.69,CL,1693432235
89,lebu,-37.6167,-73.65,9.97,73,38,1.8,CL,1693432562
90,stenungsund,58.0705,11.8181,12.33,94,100,1.55,SE,1693432856
91,bikenibeu village,1.3673,173.1241,29.98,74,40,2.06,KI,1693432856
92,utrik,11.2278,169.8474,28.53,78,38,6.83,MH,1693432856
93,iskateley,67.6803,53.1512,7.49,88,41,3.19,RU,1693432857
94,kulhudhuffushi,6.6221,73.07,25.41,90,100,6.7,MV,1693432857
95,belfast,54.5833,-5.9333,13.9,78,40,2.57,GB,1693432857
96,machico,32.7,-16.7667,23.35,78,20,3.6,PT,1693432858
97,as sulayyil,20.4607,45.5779,38.14,13,76,3.66,SA,1693432858
98,tiksi,71.6872,128.8694,1.18,72,93,7.48,RU,1693432858
99,codrington,-38.2667,141.9667,11.63,87,88,4.72,AU,1693432858
100,el soberbio,-27.2985,-54.1988,22.95,71,24,0.86,AR,1693432859
101,howard springs,-12.497,131.047,18.95,81,61,1.7,AU,1693432679
102,san antonio de pale,-1.4014,5.6325,23.96,89,98,6.38,GQ,1693432859
103,natal,-5.795,-35.2094,26.12,78,0,4.63,BR,1693432661
104,chonchi,-42.6128,-73.8092,8.56,88,100,3.42,CL,1693432859
105,shalqar,47.8333,59.6,15.2,45,62,7.3,KZ,1693432860
106,mount gambier,-37.8333,140.7667,10.51,96,93,2.75,AU,1693432818
107,fomboni,-12.28,43.7425,24.76,71,0,3.66,KM,1693432860
108,new norfolk,-42.7826,147.0587,11.72,85,100,3.76,AU,1693432860
109,caleta olivia,-46.4393,-67.5281,10.31,33,30,9.42,AR,1693432683
110,niquero,20.0431,-77.5828,31.48,69,60,6.37,CU,1693432860
111,whitehorse,60.7161,-135.0538,19.5,48,75,7.72,CA,1693432718
112,cururupu,-1.8283,-44.8683,25.38,82,3,2.4,BR,1693432861
113,olonkinbyen,70.9221,-8.7187,5.07,84,25,2.84,SJ,1693432861
114,queenstown,-31.8976,26.8753,16.07,25,0,3.71,ZA,1693432861
115,beyneu,45.3167,55.2,18.21,47,0,6.55,KZ,1693432862
116,san lucas toliman,14.6333,-91.1333,21.64,77,99,2.39,GT,1693432863
117,kodiak,57.79,-152.4072,11.73,100,100,3.09,US,1693432865
118,hawaiian paradise park,19.5933,-154.9731,27.16,93,64,0.89,US,1693432866
119,porto novo,6.4965,2.6036,24.9,94,100,1.8,BJ,1693432867
120,cannonvale,-20.2833,148.7,19.66,79,0,1.53,AU,1693432868
121,gamay,12.3854,125.2979,26.96,79,82,4.73,PH,1693432869
122,muisne,0.6,-80.0333,26.6,82,82,4.53,EC,1693432869
123,mala danylivka,50.0635,36.1656,19.37,36,3,2.95,UA,1693432869
124,minas de marcona,-15.2119,-75.1103,14.21,80,27,7.94,PE,1693432870
125,nemuro,43.3236,145.575,18.22,92,100,5.81,JP,1693432870
126,nar'yan-mar,67.6713,53.087,7.58,87,42,3.25,RU,1693432870
127,tarauaca,-8.1614,-70.7656,33.06,42,37,1.69,BR,1693432597
128,nehe,48.4833,124.8333,13.97,97,100,4.56,CN,1693432871
129,badger,64.8,-147.5333,13.33,91,100,3.6,US,1693432871
130,kailua-kona,19.6406,-155.9956,29.72,76,0,2.68,US,1693432871
131,bilibino,68.0546,166.4372,9.09,96,100,6.25,RU,1693432871
132,polyarnyy,69.1989,33.4478,11.42,85,17,3.51,RU,1693432872
133,emerald,-23.5333,148.1667,18.63,59,0,2.65,AU,1693432872
134,robore,-18.3333,-59.75,33.1,26,8,2.01,BO,1693432872
135,manta,-0.95,-80.7333,28.88,78,40,8.23,EC,1693432873
136,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1693432624
137,xiaoweizhai,26.1903,107.5125,15.43,86,11,2.26,CN,1693432873
138,klaksvik,62.2266,-6.589,9.51,78,100,3.85,FO,1693432873
139,belyy yar,53.6039,91.3903,16.94,94,75,0.0,RU,1693432874
140,canutama,-6.5339,-64.3831,33.65,34,57,0.58,BR,1693432874
141,majene,-3.5403,118.9707,22.96,88,73,4.71,ID,1693432874
142,saint-joseph,-21.3667,55.6167,18.04,77,90,5.13,RE,1693432875
143,essaouira,31.5125,-9.77,22.72,83,20,3.6,MA,1693432875
144,thompson,55.7435,-97.8558,22.09,64,75,1.54,CA,1693432875
145,itapecuru mirim,-3.3925,-44.3586,27.57,71,68,3.79,BR,1693432875
146,kismayo,-0.3582,42.5454,24.52,84,50,6.54,SO,1693432876
147,alo,7.4178,6.7371,23.55,97,100,1.94,NG,1693432876
148,udachny,66.4167,112.4,11.36,100,100,14.15,RU,1693432876
149,sakakah,29.9697,40.2064,27.76,22,0,4.26,SA,1693432876
150,yuzhno-kurilsk,44.0306,145.8556,17.91,91,94,5.84,RU,1693432877
151,geraldton,-28.7667,114.6,15.23,55,0,4.12,AU,1693432877
152,show low,34.2542,-110.0298,31.71,26,20,6.17,US,1693432684
153,cedar city,37.6775,-113.0619,32.26,19,0,3.58,US,1693432877
154,praia da vitoria,38.7333,-27.0667,23.2,78,20,1.41,PT,1693432878
155,fort mcmurray,56.7268,-111.381,30.77,45,0,4.63,CA,1693432878
156,sitka,57.0531,-135.33,15.01,91,100,2.76,US,1693432878
157,st. john's,47.5649,-52.7093,18.77,96,100,8.75,CA,1693432868
158,lagoa,39.05,-27.9833,22.55,79,54,2.69,PT,1693432879
159,sevastopol,44.6,33.5333,21.67,45,0,3.42,UA,1693432879
160,vorkuta,67.5,64.0,7.14,80,36,1.79,RU,1693432879
161,vilyuchinsk,52.9306,158.4028,14.15,70,5,4.49,RU,1693432879
162,acarau,-2.8856,-40.12,25.78,81,0,6.78,BR,1693432871
163,priozersk,61.0393,30.1291,18.38,93,98,3.8,RU,1693432880
164,isafjordur,66.0755,-23.124,10.64,79,100,0.86,IS,1693432880
165,karratha,-20.7377,116.8463,22.47,27,4,2.79,AU,1693432880
166,ilulissat,69.2167,-51.1,5.01,87,75,0.0,GL,1693432881
167,tsiombe,-25.3,45.4833,18.6,77,2,5.85,MG,1693432881
168,chyorny yar,48.0624,46.1091,17.0,31,3,2.12,RU,1693432881
169,glace bay,46.1969,-59.957,22.25,96,100,6.17,CA,1693432881
170,preobrazheniye,42.9019,133.9064,19.2,98,100,3.7,RU,1693432882
171,tura,25.5198,90.2201,24.47,77,2,1.25,IN,1693432662
172,deqen,29.9618,90.7188,9.06,83,59,0.6,CN,1693432882
173,smithers,54.7804,-127.1743,18.18,68,75,2.06,CA,1693432883
174,kenai,60.5544,-151.2583,15.05,85,75,1.54,US,1693432883
175,ashland,40.8167,-82.2665,17.2,89,94,3.72,US,1693432883
176,cody,44.5263,-109.0565,29.4,12,0,7.15,US,1693432883
177,caleta de carquin,-11.0925,-77.6267,20.98,75,8,5.75,PE,1693432883
178,revda,56.801,59.9303,8.83,99,100,2.44,RU,1693432884
179,ribeira grande,38.5167,-28.7,23.76,88,31,2.24,PT,1693432884
180,suva,-18.1416,178.4415,24.71,83,75,5.14,FJ,1693432884
181,egilsstadir,65.2653,-14.3948,7.95,93,100,3.6,IS,1693432885
182,ust-nera,64.5667,143.2,14.59,93,100,4.88,RU,1693432885
183,san juan de miraflores,-12.1629,-76.9635,21.76,74,41,4.63,PE,1693432885
184,newman,37.3138,-121.0208,38.51,8,0,3.08,US,1693432885
185,saynshand,44.8824,110.1163,14.5,72,2,3.65,MN,1693432886
186,vizinga,61.0749,50.1031,7.25,93,13,1.56,RU,1693432886
187,santyoku,37.4406,129.1708,21.99,95,100,0.69,KR,1693432886
188,east london,-33.0153,27.9116,21.09,41,0,3.81,ZA,1693432618
189,anadyr,64.75,177.4833,10.28,87,75,5.0,RU,1693432887
190,warmbad,-28.45,18.7333,20.44,52,3,2.1,NA,1693432887
191,aasiaat,68.7098,-52.8699,2.89,92,100,5.24,GL,1693432887
192,victorica,-36.2151,-65.4359,14.51,26,4,8.03,AR,1693432888
193,acapulco de juarez,16.8634,-99.8901,28.71,80,98,2.04,MX,1693432832
194,venev,54.3553,38.2684,14.52,78,99,2.97,RU,1693432888
195,labrador city,52.9463,-66.9114,9.95,53,75,4.12,CA,1693432676
196,lihue,21.9789,-159.3672,29.77,70,40,6.17,US,1693432733
197,nishinoomote,30.7333,131.0,26.95,85,100,11.03,JP,1693432889
198,ponta delgada,37.7333,-25.6667,23.4,78,40,2.57,PT,1693432889
199,sassandra,4.95,-6.0833,23.33,94,65,2.74,CI,1693432890
200,winnemucca,40.973,-117.7357,28.03,10,0,2.06,US,1693432890
201,art khwajah,37.0857,69.4796,26.4,17,71,0.87,AF,1693432890
202,lata,40.1629,-8.3327,17.67,97,20,1.27,PT,1693432890
203,oswego,43.4501,-76.1497,19.77,88,18,1.34,US,1693432891
204,taulaga,-11.0553,-171.0883,27.87,81,91,9.75,AS,1693432891
205,aykhal,66.0,111.5,8.8,92,99,6.89,RU,1693432891
206,illizi,26.4833,8.4667,35.89,28,18,1.46,DZ,1693432892
207,constantia,44.1833,28.65,24.38,79,57,3.42,RO,1693432892
208,woolgoolga,-30.1106,153.2007,15.02,75,23,1.45,AU,1693432892
209,bubaque,11.2833,-15.8333,27.12,82,91,5.23,GW,1693432893
210,rikaze,29.25,88.8833,13.16,62,34,2.41,CN,1693432893
211,xixiang,35.1628,112.865,21.73,86,0,1.36,CN,1693432893
212,hermanus,-34.4187,19.2345,13.78,94,100,2.34,ZA,1693432686
213,lengshuitan,26.4111,111.5956,22.46,83,99,1.55,CN,1693432894
214,wajir,1.7471,40.0573,24.75,62,27,7.4,KE,1693432894
215,visby,57.6409,18.296,14.12,100,100,2.06,SE,1693432895
216,tazacorte,28.629,-17.9293,24.54,75,100,4.63,ES,1693432895
217,lodeynoye pole,60.726,33.5531,16.37,78,90,3.76,RU,1693432896
218,vuktyl,63.8567,57.3094,10.35,75,100,3.0,RU,1693432896
219,bredasdorp,-34.5322,20.0403,13.1,96,81,1.74,ZA,1693432896
220,alofi,-19.0595,-169.9187,24.94,69,75,4.12,NU,1693432897
221,remire-montjoly,4.9167,-52.2667,30.02,74,0,3.09,GF,1693432897
222,ghanzi,-21.5667,21.7833,14.31,32,0,4.13,BW,1693432897
223,akouda,35.8691,10.5653,24.82,80,73,3.77,TN,1693432897
224,lensk,60.7253,114.9278,15.06,65,96,2.22,RU,1693432898
225,tuy hoa,13.0833,109.3,26.81,79,100,3.17,VN,1693432767
226,sabha,27.0377,14.4283,32.38,30,1,6.82,LY,1693432898
227,luchegorsk,46.4764,134.2569,15.75,100,100,1.52,RU,1693432898
228,qaqortoq,60.7167,-46.0333,6.92,97,100,6.81,GL,1693432899
229,east ballina,-28.8667,153.5833,16.0,79,80,1.58,AU,1693432899
230,sunnyside,46.3237,-120.0087,29.44,34,0,2.57,US,1693432899
231,el haouaria,37.05,11.0144,25.01,72,30,1.66,TN,1693432899
232,callao,-12.0667,-77.15,22.62,68,100,6.17,PE,1693432320
233,yantzaza,-3.8278,-78.7594,27.89,55,71,1.52,EC,1693432900
234,kamaishi,39.2667,141.8833,26.55,91,99,3.27,JP,1693432900
235,trinity beach,-16.7888,145.6968,20.56,88,20,1.03,AU,1693432901
236,an nimas,19.1455,42.1201,19.48,61,39,1.79,SA,1693432901
237,snihurivka,47.0758,32.8052,20.2,36,6,3.6,UA,1693432901
238,paradip garh,20.3167,86.6167,28.55,72,83,1.79,IN,1693432901
239,alice springs,-23.7,133.8833,6.75,70,0,1.03,AU,1693432901
240,puerto baquerizo moreno,-0.9,-89.6,26.55,78,40,8.23,EC,1693432902
241,redencao,-4.2258,-38.7306,24.03,73,0,2.13,BR,1693432902
242,kudahuvadhoo,2.6708,72.8944,27.93,68,100,3.44,MV,1693432902
243,opuwo,-18.0607,13.84,22.26,28,33,3.24,NA,1693432902
244,kuqa,41.7278,82.9364,23.73,24,2,1.48,CN,1693432902
245,san pedro pochutla,15.7333,-96.4667,29.84,72,97,2.5,MX,1693432903
246,kalmunai,7.4167,81.8167,26.0,83,100,1.51,LK,1693432903
247,rosetta,31.4044,30.4164,26.69,76,0,3.74,EG,1693432903
248,kandira,41.0736,30.1746,22.55,61,2,3.14,TR,1693432903
249,fregenal de la sierra,38.1692,-6.6537,21.12,29,38,1.48,ES,1693432904
250,kavaratti,10.5669,72.642,28.19,78,90,7.72,IN,1693432904
251,sinabang,2.4803,96.3801,26.08,86,97,1.43,ID,1693432904
252,manadhoo,5.7667,73.3833,25.53,90,100,6.09,MV,1693432905
253,luderitz,-26.6481,15.1594,16.41,77,24,2.47,NA,1693432905
254,male,4.1748,73.5089,28.97,79,75,8.23,MV,1693432905
255,fort bragg,35.139,-79.006,26.01,96,75,3.09,US,1693432752
256,vila velha,-20.3297,-40.2925,23.97,92,75,1.54,BR,1693432668
257,nchelenge,-9.3451,28.734,21.15,50,0,3.25,ZM,1693432906
258,waspan,14.7419,-83.9717,30.49,72,94,2.7,NI,1693432906
259,longido,-2.7333,36.6833,17.72,66,26,3.71,TZ,1693432906
260,mejit,10.2753,170.8646,28.59,72,27,6.79,MH,1693432906
261,acajutla,13.5928,-89.8275,29.86,73,100,0.96,SV,1693432907
262,kratie,12.4881,106.0188,23.83,97,95,0.78,KH,1693432907
263,waddan,29.1614,16.139,30.9,31,70,3.31,LY,1693432907
264,shimoda,34.6667,138.95,28.39,82,100,1.64,JP,1693432907
265,walvis bay,-22.9575,14.5053,13.53,94,1,1.03,NA,1693432908
266,aldinga beach,-35.2793,138.4604,12.04,86,100,3.09,AU,1693432908
267,kirakira,-10.4544,161.9205,26.43,86,100,1.54,SB,1693432908
268,baruun-urt,46.6806,113.2792,12.51,72,68,2.02,MN,1693432908
269,kristiansund,63.1115,7.732,13.03,94,20,2.06,NO,1693432908
270,comodoro rivadavia,-45.8667,-67.5,12.92,19,0,13.89,AR,1693432909
271,sandikli,38.4647,30.2695,18.9,34,17,0.68,TR,1693432909
272,lorengau,-2.0226,147.2712,27.98,79,77,3.94,PG,1693432909
273,port arthur,38.8,121.2667,20.12,76,9,3.33,CN,1693432909
274,mar del plata,-38.0023,-57.5575,12.29,80,75,4.02,AR,1693432806
